区分,名称,漢字表記,読み（ひらがな）,読み（カタカナ）,備考
処方名,通導散,通導散,つうどうさん,ツウドウサン,漢方処方名
処方名,定悸飲,定悸飲,ていきいん,テイキイン,漢方処方名
処方名,田三七人参,田三七人参,でんさんしちにんじん,デンサンシチニンジン,漢方処方名
処方名,桃核承気湯,桃核承気湯,とうかくじょうきとう,トウカクジョウキトウ,漢方処方名
処方名,当帰飲子,当帰飲子,とうきいんし,トウキインシ,漢方処方名
処方名,当帰建中湯,当帰建中湯,とうきけんちゅうとう,トウキケンチュウトウ,漢方処方名
処方名,当帰四逆加呉茱萸生姜湯,当帰四逆加呉茱萸生姜湯,とうきしぎゃくかごしゅゆしょうきょうとう,トウキシギャクカゴシュユショウキョウトウ,漢方処方名
処方名,当帰芍薬散,当帰芍薬散,とうきしゃくやくさん,トウキシャクヤクサン,漢方処方名
処方名,当帰芍薬散料,当帰芍薬散料,とうきしゃくやくさん,トウキシャクヤクサン,漢方処方名
処方名,独活葛根湯,独活葛根湯,どっかつかっこんとう,ドッカツカッコントウ,漢方処方名
処方名,独活寄生丸,独活寄生丸,どっかつきせいがん,ドッカツキセイガン,漢方処方名
処方名,二陳湯,二陳湯,にちんとう,ニチントウ,漢方処方名
処方名,女神散,女神散,にょしんさん,ニョシンサン,漢方処方名
処方名,人参湯,人参湯,にんじんとう,ニンジントウ,漢方処方名
処方名,人参養栄湯,人参養栄湯,にんじんようえいとう,ニンジンヨウエイトウ,漢方処方名
処方名,排膿散及湯,排膿散及湯,はいのうさんきゅうとう,ハイノウサンキュウトウ,漢方処方名
処方名,麦門冬湯,麦門冬湯,ばくもんどうとう,バクモンドウトウ,漢方処方名
処方名,八味丸,八味丸,はちみがん,ハチミガン,漢方処方名
処方名,八味地黄丸,八味地黄丸,はちみじおうがん,ハチミジオウガン,漢方処方名
処方名,半夏厚朴湯,半夏厚朴湯,はんげこうぼくとう,ハンゲコウボクトウ,漢方処方名
処方名,半夏瀉心湯,半夏瀉心湯,はんげしゃしんとう,ハンゲシャシントウ,漢方処方名
処方名,半夏白朮天麻湯,半夏白朮天麻湯,はんげびゃくじゅつてんまとう,ハンゲビャクジュツテンマトウ,漢方処方名
処方名,板藍根,板藍根,ばんらんこん,バンランコン,漢方処方名
処方名,ビタミン含有保健薬,ビタミン含有保健薬,びたみん含有保健薬,ビタミン含有保健薬,漢方処方名
処方名,鼻通湯,鼻通湯,びつうとう,ビツウトウ,漢方処方名
処方名,白虎加人参湯,白虎加人参湯,びゃっこかにんじんとう,ビャッコカニンジントウ,漢方処方名
処方名,茯苓飲,茯苓飲,ぶくりょういん,ブクリョウイン,漢方処方名
処方名,茯苓飲合半夏厚朴湯,茯苓飲合半夏厚朴湯,ふくりょういんごうはんげこうぼくとう,フクリョウインゴウハンゲコウボクトウ,漢方処方名
処方名,ブシ 炮附子,ブシ 炮附子,ぶし ほうぶし,ブシ ホウブシ,漢方処方名
処方名,婦人宝,婦人宝,ふじんほう,フジンホウ,漢方処方名
処方名,分消湯,分消湯,ぶんしょうとう,ブンショウトウ,漢方処方名
処方名,平胃散,平胃散,へいいさん,ヘイイサン,漢方処方名
処方名,防已黄耆湯,防已黄耆湯,ぼういおうぎとう,ボウイオウギトウ,漢方処方名
処方名,防風通聖散,防風通聖散,ぼうふうつうしょうさん,ボウフウツウショウサン,漢方処方名
処方名,炮附子,炮附子,ほうぶし,ホウブシ,漢方処方名
処方名,補気建中湯,補気建中湯,ほきけんちゅうとう,ホキケンチュウトウ,漢方処方名
処方名,補中益気湯,補中益気湯,ほちゅうえっきとう,ホチュウエッキトウ,漢方処方名
処方名,補陽還五湯,補陽還五湯,ほようかんごとう,ホヨウカンゴトウ,漢方処方名
処方名,麻黄湯,麻黄湯,まおうとう,マオウトウ,漢方処方名
処方名,麻黄附子細辛湯,麻黄附子細辛湯,まおうぶしさいしんとう,マオウブシサイシントウ,漢方処方名
処方名,麻杏甘石湯,麻杏甘石湯,まきょうかんせきとう,マキョウカンセキトウ,漢方処方名
処方名,麻杏薏甘湯,麻杏薏甘湯,まきょうよくかんとう,マキョウヨクカントウ,漢方処方名
処方名,麻子仁丸,麻子仁丸,ましにんがん,マシニンガン,漢方処方名
処方名,満量,満量,まんりょう,マンリョウ,漢方処方名
処方名,味麦地黄丸,味麦地黄丸,みばくじおうがん,ミバクジオウガン,漢方処方名
処方名,木防已湯,木防已湯,もくぼういとう,モクボウイトウ,漢方処方名
処方名,ヨクイニン,ヨクイニン,よくいにん,ヨクイニン,漢方処方名
処方名,薏苡仁湯,薏苡仁湯,よくいにんとう,ヨクイニントウ,漢方処方名
処方名,抑肝散,抑肝散,よくかんさん,ヨクカンサン,漢方処方名
処方名,抑肝散加陳皮半夏,抑肝散加陳皮半夏,よくかんさんかちんぴはんげ,ヨクカンサンカチンピハンゲ,漢方処方名
処方名,六君子湯,六君子湯,りっくんしとう,リックンシトウ,漢方処方名
処方名,隆持源,隆持源,りゅうじげん,リュウジゲン,漢方処方名
処方名,竜胆瀉肝湯,竜胆瀉肝湯,りゅうたんしゃかんとう,リュウタンシャカントウ,漢方処方名
処方名,苓甘姜味辛夏仁湯,苓甘姜味辛夏仁湯,りょうかんきょうみしんげにんとう,リョウカンキョウミシンゲニントウ,漢方処方名
処方名,苓姜朮甘湯,苓姜朮甘湯,りょうきょうじゅつかんとう,リョウキョウジュツカントウ,漢方処方名
処方名,苓桂甘棗湯,苓桂甘棗湯,りょうけいかんそうとう,リョウケイカンソウトウ,漢方処方名
処方名,苓桂朮甘湯,苓桂朮甘湯,りょうけいじゅつかんとう,リョウケイジュツカントウ,漢方処方名
処方名,苓桂味甘湯,苓桂味甘湯,りょうけいみかんとう,リョウケイミカントウ,漢方処方名
処方名,麗沢通気湯加辛夷,麗沢通気湯加辛夷,れいたくつうきとうかしんい,レイタクツウキトウカシンイ,漢方処方名
処方名,連珠飲,連珠飲,れんじゅいん,レンジュイン,漢方処方名
処方名,六味丸,六味丸,ろくみがん,ロクミガン,漢方処方名
処方名,強心薬,強心薬,強心薬,強心薬,漢方処方名
処方名,紫根牡蠣湯,紫根牡蠣湯,紫根牡蠣湯,紫根牡蠣湯,漢方処方名
処方名,柴胡加竜骨牡蠣湯,柴胡加竜骨牡蠣湯,柴胡加竜骨牡蠣湯,柴胡加竜骨牡蠣湯,漢方処方名
処方名,柴朴湯,柴朴湯,柴朴湯,柴朴湯,漢方処方名
処方名,生薬主薬製剤,生薬主薬製剤,生薬主薬製剤,生薬主薬製剤,漢方処方名
処方名,生薬製剤,生薬製剤,生薬製剤,生薬製剤,漢方処方名
処方名,折衝飲,折衝飲,折衝飲,折衝飲,漢方処方名
処方名,鎮咳去痰薬,鎮咳去痰薬,鎮咳去痰薬,鎮咳去痰薬,漢方処方名
処方名,皮膚軟化薬,皮膚軟化薬,皮膚軟化薬,皮膚軟化薬,漢方処方名
処方名,補気健中湯,補気健中湯,補気健中湯,補気健中湯,漢方処方名
処方名,瀉下薬,瀉下薬,瀉下薬,瀉下薬,漢方処方名
生薬名,ゼラチン,阿膠,あきょう,アキョウ,配合製品数: 5
